id,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,qualifiers,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,type_display_name,outcome_type_display_name,period_display_name,distance,angle,xG
2633729695,239,25,0,26,355354,97,62,0,0,"[{""type"":{""value"":61,""displayName"":""SmallBoxLeft""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""174""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""238""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""59.8""},{""type"":{""value"":100,""displayName"":""SixYardBlock""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.6""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.5""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]",TRUE,97.6,59.8,19,50.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,115.1216748,-2.572864771,0.821230288
2633729723,243,25,36,26,95408,87.1,56.1,0,0,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""54.7""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""176""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""298""},{""type"":{""value"":82,""displayName"":""Blocked""}}]",TRUE,91.1,54.7,19,51.6,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,103.6031853,-2.569385256,0.166433363
2633729741,249,25,53,26,345957,90.9,51.8,0,0,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.3""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.6""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""205""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""247""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]",TRUE,92.3,51.6,19,50.6,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,104.6233721,-2.623632075,0.209175379
2633729909,277,28,36,26,86829,75.6,51.6,0,0,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.4""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.3""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""276""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""197""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""90.1""}]",TRUE,90.1,51.4,19,51.3,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,91.53097836,-2.542681392,0.007397602
2633729973,286,29,26,26,369875,72.5,62.3,0,0,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.3""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""285""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""57.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""209""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""83.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]",TRUE,83.8,57.8,19,51.3,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,95.5904807,-2.431718226,0.021854814
2633730357,343,35,6,26,400828,85.1,56.5,0,0,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.1""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""268""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.5""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.5""},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""53.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]",TRUE,92.1,53.2,2.5,47.5,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,102.1482256,-2.555490672,0.118356342
2633730369,344,35,12,26,400828,81.8,64.8,0,0,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.3""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.1""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.3""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""269""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""13.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]",TRUE,98.1,51.3,13.9,48.3,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,104.3565043,-2.47164066,0.195863859
2633730571,368,38,35,26,318871,98.1,16.1,0,0,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""367""},{""type"":{""value"":66,""displayName"":""OutOfBoxDeepRight""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""33.5""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""55.2""}]",TRUE,0,0,33.5,55.2,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,99.41237348,-2.97892454,0.061482204
2633730781,401,41,45,26,369875,77.5,39.7,0,0,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""53.4""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""96.5""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.3""},{""type"":{""value"":100,""displayName"":""SixYardBlock""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""323""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""400""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""}]",TRUE,96.5,51.3,19,53.4,TRUE,FALSE,FALSE,Shot,Successful,FirstHalf,87.07663292,-2.668186751,0.002229692
2633733107,543,48,27,26,108226,94.4,51,0,0,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""542""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":16,""displayName"":""SmallBoxCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.2""}]",TRUE,0,0,3.2,50.8,TRUE,FALSE,TRUE,Shot,Successful,SecondHalf,107.2956663,-2.646262572,0.354118597
