index,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,type_display_name,outcome_type_display_name,period_display_name,player_name,Position
1241,567,70,22,Real Madrid,337782,81.8,71.5,,,BallTouch,Unsuccessful,SecondHalf,Vinicius Junior,FWD
1242,760,70,57,Manchester City,121774,5.4,53.6,67.5,58.2,Pass,Unsuccessful,SecondHalf,Moraes Ederson ,GK
1243,569,71,1,Real Madrid,337879,30.1,40.1,54.9,43.4,Pass,Unsuccessful,SecondHalf,Eder Militao,CB
1244,761,71,3,Manchester City,303139,46.6,51.5,67.2,23.8,Pass,Unsuccessful,SecondHalf,Hernandez Rodri,DM
1245,570,71,5,Real Madrid,39722,31.1,79.9,46.7,90,Pass,Unsuccessful,SecondHalf,David Alaba,CB
1246,762,71,9,Manchester City,136741,53.4,8.8,38.3,5.2,Pass,Successful,SecondHalf,Bernardo Silva,RM
1247,763,71,11,Manchester City,69778,38.3,5.2,79.5,10.1,Pass,Successful,SecondHalf,Kyle Walker,RB
1248,764,71,14,Manchester City,73084,79.7,10.1,,,BallTouch,Unsuccessful,SecondHalf,Kevin De-Bruyne,AM
1249,572,71,25,Real Madrid,337879,4.6,40.3,20.4,38.4,Pass,Successful,SecondHalf,Eder Militao,CB
1250,573,71,27,Real Madrid,369109,20.6,37.3,10.1,37.8,Pass,Successful,SecondHalf,Eduardo Camavinga,LB
1251,574,71,29,Real Madrid,337879,10.4,38.2,9.7,77.8,Pass,Successful,SecondHalf,Eder Militao,CB
1252,575,71,33,Real Madrid,104010,7.9,84.5,18.9,96.9,Pass,Successful,SecondHalf,Antonio Rudiger,CB
1253,576,71,37,Real Madrid,39722,22.2,94.5,12.3,82.4,Pass,Successful,SecondHalf,David Alaba,CB
1254,577,71,40,Real Madrid,104010,12.3,82.4,19.4,72.1,Pass,Successful,SecondHalf,Antonio Rudiger,CB
1255,578,71,41,Real Madrid,369109,19.4,72.1,3,59,Pass,Successful,SecondHalf,Eduardo Camavinga,LB
1256,579,71,43,Real Madrid,73798,2.8,59.1,66.3,60.5,Pass,Unsuccessful,SecondHalf,Thibaut Courtois,GK
1257,766,71,49,Manchester City,313171,29.7,46.3,,,BallRecovery,Successful,SecondHalf,Ruben Dias,CB
1258,767,71,52,Manchester City,313171,26.8,52.1,34.6,43.4,Pass,Successful,SecondHalf,Ruben Dias,CB
1259,768,71,59,Manchester City,101374,47.6,72.3,61.2,96.9,Pass,Successful,SecondHalf,John Stones,DM
1260,769,72,4,Manchester City,113069,64.9,87.9,71.3,75,Pass,Successful,SecondHalf,Jack Grealish,LM
1261,770,72,5,Manchester City,77464,71.3,75,65.1,68.9,Pass,Successful,SecondHalf,Ilkay Gundogan,AM
1262,771,72,7,Manchester City,113069,65,54,65.3,32.2,Pass,Successful,SecondHalf,Jack Grealish,LM
1263,772,72,9,Manchester City,73084,65,29.6,73,8.2,Pass,Successful,SecondHalf,Kevin De-Bruyne,AM
1264,773,72,15,Manchester City,136741,76.7,5,60.2,6.2,Pass,Successful,SecondHalf,Bernardo Silva,RM
1265,774,72,19,Manchester City,69778,60.6,7.3,65,16.6,Pass,Successful,SecondHalf,Kyle Walker,RB
1266,775,72,20,Manchester City,303139,67.8,12.8,70.3,2.3,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1267,784,73,19,Manchester City,303139,92.3,31,,,Foul,Unsuccessful,SecondHalf,Hernandez Rodri,DM
1268,776,72,23,Manchester City,136741,70.5,2.8,67.7,16.9,Pass,Successful,SecondHalf,Bernardo Silva,RM
1269,777,72,25,Manchester City,303139,68.1,20.3,61.5,69,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1270,778,72,32,Manchester City,297390,73.5,67.5,77.2,57.9,Pass,Successful,SecondHalf,Manuel Akanji,LB
1271,779,72,33,Manchester City,315227,77.2,57.9,85.6,63.8,Pass,Successful,SecondHalf,Erling Haaland,FWD
1272,780,72,35,Manchester City,77464,86.2,62,92,66.2,Pass,Successful,SecondHalf,Ilkay Gundogan,AM
1273,781,72,36,Manchester City,315227,91,64.2,,,SavedShot,Successful,SecondHalf,Erling Haaland,FWD
1274,580,72,36,Real Madrid,73798,4.2,43.1,,,Save,Successful,SecondHalf,Thibaut Courtois,GK
1275,581,72,39,Real Madrid,73798,5.6,41.2,,,CornerAwarded,Unsuccessful,SecondHalf,Thibaut Courtois,GK
1276,782,72,39,Manchester City,315227,94.4,58.8,,,CornerAwarded,Successful,SecondHalf,Erling Haaland,FWD
1277,783,73,16,Manchester City,113069,99.5,99.5,92.7,30.2,Pass,Unsuccessful,SecondHalf,Jack Grealish,LM
1278,585,73,36,Real Madrid,104010,9.3,65.2,6.7,47.7,Pass,Successful,SecondHalf,Antonio Rudiger,CB
1279,586,73,38,Real Madrid,73798,6.7,47.7,29,8.8,Pass,Successful,SecondHalf,Thibaut Courtois,GK
1280,587,73,41,Real Madrid,106883,29.7,8.8,31.5,59,Pass,Successful,SecondHalf,Dani Carvajal,RB
1281,588,73,43,Real Madrid,344644,31.5,59,47.3,65,Pass,Unsuccessful,SecondHalf,Federico Valverde,MC
1282,787,73,45,Manchester City,101374,52.1,32,,,BallRecovery,Successful,SecondHalf,John Stones,DM
1283,788,73,49,Manchester City,101374,62.7,35.8,57.7,34.3,Pass,Successful,SecondHalf,John Stones,DM
1284,789,73,51,Manchester City,303139,62.7,32.8,66.1,2.6,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1285,790,73,57,Manchester City,136741,69.8,24.2,67.3,33.8,Pass,Successful,SecondHalf,Bernardo Silva,RM
1286,791,73,58,Manchester City,101374,67.3,33.8,60.6,27.7,Pass,Successful,SecondHalf,John Stones,DM
1287,792,73,59,Manchester City,303139,60.7,28.7,59.8,28.7,Pass,Unsuccessful,SecondHalf,Hernandez Rodri,DM
1288,589,73,59,Real Madrid,14296,39.9,66.6,,,BlockedPass,Successful,SecondHalf,Karim Benzema,FWD
